iteration,target,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,generation_method
14,0.0,1.0290005760673868,2.6635219904618355,0.7681897489005636,0.5002608322804485,4.733234673242016,1.1577977104307924,1.476537082370916,0.0846299530852412,1.1933802327888363,4.278471598413447,BoTorch
15,0.0,0.8817824037736313,1.9910547575932165,0.1175071241395782,0.0582282874970455,1.81821738560504,4.760805043466833,0.7955620201464586,0.0,2.107845405952117,1.4694025247346745,BoTorch
16,0.0,0.3640435161718607,0.098679513772359,0.0962789004642746,0.2284088955673143,1.1547208111222569,4.436440990890693,1.0523160385910608,3.3115737771565845,0.6620164624366243,1.3074398935814993,BoTorch
17,0.0,0.0,0.1031496121593972,0.9574701040436104,1.2825745644201534,0.6088333510885213,3.4527800843039693,1.900829399086337,0.7706806763940964,1.315584946690647,2.3953111939163656,BoTorch
18,0.0,0.9983822119874258,0.8297301190123025,2.601753905973976,0.777046210507869,0.3272450193323588,4.838343643323144,0.938293764674996,0.2620920967328455,0.4719193187343007,2.067996563099136,BoTorch
19,0.0,0.0,2.9553703195590506,1.206171693321419,3.3415418134223147,0.4738569969906472,3.114168896627208,1.0888631989782345,0.0,0.0741580763940112,1.0113246588689446,BoTorch
20,0.0,0.364496227056461,3.315876058825726,0.546597625201533,1.502438750981536,1.1924623141791384,4.678999856086059,0.6308084694841786,0.7791972173544452,0.8097613565423838,0.003809316404747,BoTorch
21,0.0,0.5364960115910853,0.0072538794812969,0.4664231664894703,1.795349795577026,0.8017590355730917,3.806996469092853,1.60347879888094,0.5775770589153604,1.0178833718763691,0.1148586570515068,BoTorch
22,0.0,0.1714481623071386,1.588595195122321,1.1547577008210643,1.976267254633695,0.6979444249228224,4.895952518171953,1.9471440450044464,1.106911520345515,0.4774157978084196,1.8715526158767053,BoTorch
23,0.0,0.0,2.5962781496401464,0.1640342679633142,3.2152070979865965,0.6583870695898959,3.964345989043197,0.6852801184851205,0.6783162776321262,0.0,1.5080467284825647,BoTorch
24,0.0,1.7274110657816586,1.5363152214843432,1.879887378803276,2.217622313005661,1.7471101446790682,4.335572093770584,0.1054069842506719,1.2385754034691994,0.4895352294652471,0.2789244084662253,BoTorch
25,0.0,1.0902721693771746,0.3265154709700942,1.772415182818943,1.0499852279095323,2.486727115470054,4.299753648367628,0.0,0.6097448369502614,0.1108020231601643,0.2105287607461897,BoTorch
26,0.12,0.1367916482000458,2.1707274118550464,0.0,2.830713913595218,0.1416358661419768,4.434485215804672,0.7166361990451968,0.3443943274181504,0.0602292103492951,0.1732676915835305,BoTorch
27,0.0,1.2263140635192806,1.45683270829339,0.9198212318738423,3.313489408628203,0.0,4.429670456221949,0.3401083700951938,0.1016763662864378,0.8334132405848735,0.8096743560019625,BoTorch
28,0.03,0.1361142422554928,1.691546148003238,0.2401440045561537,4.031197948412043,0.6837249284873492,3.749459459695788,0.0494667203522255,0.0801772893727728,0.794198736952735,0.1176501954372899,BoTorch
29,0.0,0.8974687818601023,1.469097435248234,1.438262684149221,0.3330487977307638,0.1481050726631654,3.427452391123186,2.1217408679716483,0.4603480704246712,0.3860142553802821,1.1020987269487823,BoTorch
30,0.0,2.4400992689570478,0.2137892678115903,1.7955187512816422,0.2529491476930053,0.6900501344844221,3.646775374013872,0.4869299410052296,0.3442905455286438,1.8720116398844704,1.3741776813921878,BoTorch
31,0.0,1.70507517475694,2.437257445942611,0.5519563317968029,2.954584144272745,1.466218585498077,3.832504925728849,0.7421800435730588,1.43461118505973,0.3584395287100764,0.9073157626001156,BoTorch
32,0.0,1.2125386953498944,2.1878683751188017,1.345544450596595,0.0994182522381051,0.8135777578321597,4.7725484901977175,2.092630128572516,1.109348314186727,0.5981064005243936,1.339706468049498,BoTorch
33,0.0,0.2324160711253408,2.5927239768833594,0.0,2.634685252507811,0.0,4.160015059108553,1.5055957489872704,0.7302709174709046,0.4921247806463316,0.5549505345788076,BoTorch
34,0.0,0.0554146773005864,1.5265925932553448,0.2776293084367693,1.074108267261384,0.0973824231715394,4.421509164664666,0.5998588759864848,0.9565704656177122,2.57391172527376,0.159005759814749,BoTorch
